id,name,type,vid_res,language,home_away,call_sign
1742,Viva 105.7,FM,,es,away,Viva105.7
1761,STO-HD,TV,,en,home,STO
1781,MLB.TV,TV,,en,away,MLB.TV
1801,WOOD 105.7,FM,,en,home,WOOD105.7
1802,97.1 The Ticket,FM,,en,away,97.1
1803,WVUM 90.5,FM,,en,home,WVUM90.5
1821,WMMS 100.7,FM,,en,home,WMMS
1841,ION-HD,TV,,en,home,ION-HD
1861,La Raza,AM,,es,home,La Raza
1881,Sun Sports HD,TV,,en,away,SUN
1882,MASN HD,TV,,en,home,MASN
1883,MASN 2 HD,TV,,en,home,MSN2
1982,NBCS BA,TV,,en,away,NBCSBA
1983,XEPE 1700,AM,,en,away,XEPE1700
2011,kdfi-hd,TV,,en,home,kdfi-hd
2012,KDFW-4 HD,TV,,en,home,KDFW-4HD
2021,my20-HD,TV,,en,home,my20-HD
2041,SBN 1150,AM,,es,home,SBN
2061,NBCS BA+,TV,,en,home,NBCSBA
2141,WXYT 97.1 FM,FM,,en,home,WXYT
2161,KFRC 106.9 FM/KYCY 1550 AM,AM,,en,home,KFRC
2181,Texas 21,TV,,en,home,TXA-21
2182,1500 ESPN,AM,,en,away,1500ESPN
2201,CSN-HD,TV,,en,away,CSP
2202,CW 57-HD,TV,,en,away,CW 57-HD
2281,XPRS 1090/105.7 FM ,AM,,en,home,XPRS 109
2401,MAJIC 102.7,FM,,en,away,102.7
2421,WZHF 1390 ,AM,,es,home,WZHF1390
2481,SBP 1480,AM,,es,away,SBP
2482,SBN 730,AM,,es,home,SBN
2501,WMET 1160,AM,,es,home,WMET1160
2521,ESPN Deportes 1510,AM,,es,home,ESPN-1510
2582,(In progress),TV,,en,away,InProg
2603,KTRB 860,AM,,es,away,KTRB 860
2621,105.7 The Fan,FM,,en,home,105.7 Fan
2641,KIRO 97.3,FM,,en,away,KIRO
2661,MLBN,TV,,en,away,MLBN
2681,Bally Sports Kansas City,TV,,en,home,BSKC
2682,FS-H,TV,,en,away,FS-H
2701,WFED 1500,AM,,en,home,WFED1500
2702,PHL 17,TV,,en,home,PHL 17
2721,FS-H HD,TV,,en,home,FS-H HD
2722,Bally Sports West,TV,,en,home,BSW
2723,Bally Sports Midwest,TV,,en,away,BSMW
2724,CNP,TV,,en,away,CNP
2725,WAQI 710,AM,,es,home,WAQI
2726,Bally Sports Florida,TV,,en,home,BSFL
2741,105.3 The Fan,FM,,en,away,105.3 Fan
2742,NBCSCA,TV,,en,home,NBCSCA
2743,NBCSCA+,TV,,en,away,NBCSCA+
2761,Bally Sports Detroit,TV,,en,home,BSDET
2762,Bally Sports Detroit+,TV,,en,away,BSDET+
2763,ESPN Radio 1380,AM,,en,away,ESPN-1380
2764,Bally Sports North,TV,,en,home,BSNO
2781,CSCA-HD,TV,,en,away,CSCA
2802,Bally Sports Arizona,TV,,en,away,BSAZ
2821,ESPN Deportes,TV,,es,away,ESPN Dep.
2841,WRRD 1510,AM,,es,home,WRRD1510
2842,KDIA 1640,AM,,es,away,KDIA1640
2843,KDYA 1190,AM,,es,home,KDYA1190
3001,ESPN 730,AM,,es,away,ESPN 730
3021,CSS,TV,,en,home,CSS
3022,FSKC-HD,TV,,en,away,FSKC
3041,FS-M HD,TV,,en,away,FSMW
3061,DirecTV-652,TV,,en,home,DTV-652
3062,Dishnet-446,TV,,en,home,Dish-446
3065,FS-D HD,TV,,en,away,FSD
3101,FS-F HD,TV,,en,away,FSFL
3102,820 CHAM,AM,,en,home,820 CHAM
3121,CKOC 1150,AM,,en,home,CKOC1150
3141,WDCW DC-50,TV,,en,away,WDCW
3181,FSNO HD,TV,,en,home,FSNO
3182,KIQI 1010,AM,,es,home,KIQI
3201,Dish453,TV,,en,home,Dish453
3202,Dish445,TV,,en,away,Dish445
3203,Dish447,TV,,en,home,Dish447
3204,Dish444,TV,,en,home,Dish444
3205,Dish448,TV,,en,home,Dish448
3206,Dish446,TV,,en,away,Dish446
3261,NESN+,TV,,en,home,NESN
