player_mlbam,player,position,team,team_mlbam,date,award_id,award,ntoes,votes
117517,Tony La Russa,X,No team,14,2014-07-27,MLBHOF,Hall Of Fame,No cap logo on plaque,-
123245,Frank Thomas,1B,Chicago White Sox,145,2014-01-08,MLBHOF,Hall Of Fame,-,478
118120,Greg Maddux,P,No team,14,2014-01-08,MLBHOF,Hall Of Fame,No cap logo on plaque,555
114849,Tom Glavine,P,Atlanta Braves,144,2014-01-08,MLBHOF,Hall Of Fame,-,525
124175,Deacon White,3B,-,187,2013-07-28,MLBHOF,Hall Of Fame,-,-
119928,Hank O'Day,X,No team,14,2013-07-28,MLBHOF,Hall Of Fame,-,-
660903,Jacob Ruppert,X,No team,14,2013-07-28,MLBHOF,Hall Of Fame,-,-
117501,Barry Larkin,SS,Cincinnati Reds,113,2012-01-09,MLBHOF,Hall Of Fame,-,495
121697,Ron Santo,3B,Chicago Cubs,112,2012-01-09,MLBHOF,Hall Of Fame,-,-
111126,Bert Blyleven,P,Minnesota Twins,142,2011-01-05,MLBHOF,Hall Of Fame,-,463
110183,Roberto Alomar,2B,Toronto Blue Jays,141,2011-01-05,MLBHOF,Hall Of Fame,-,523
115865,Whitey Herzog,X,St. Louis Cardinals,138,2010-07-25,MLBHOF,Hall Of Fame,-,-
113151,Andre Dawson,OF,Washington Nationals,120,2010-01-06,MLBHOF,Hall Of Fame,-,-
121140,Jim Rice,OF,Boston Red Sox,111,2009-07-26,MLBHOF,Hall Of Fame,-,412
114967,Joe Gordon,2B,New York Yankees,147,2009-07-26,MLBHOF,Hall Of Fame,-,-
115749,Rickey Henderson,OF,Oakland Athletics,133,2009-07-26,MLBHOF,Hall Of Fame,-,511
545115,Barney Dreyfuss,X,No team,14,2008-07-27,MLBHOF,Hall Of Fame,-,-
122551,Billy Southworth,X,St. Louis Cardinals,138,2008-07-27,MLBHOF,Hall Of Fame,-,13
545116,Bowie Kuhn,X,No team,14,2008-07-27,MLBHOF,Hall Of Fame,-,-
124335,Dick Williams,X,Oakland Athletics,133,2008-07-27,MLBHOF,Hall Of Fame,-,13
114989,Rich Gossage,P,New York Yankees,147,2008-07-27,MLBHOF,Hall Of Fame,-,466
545114,Walter O'Malley,X,No team,14,2008-07-27,MLBHOF,Hall Of Fame,-,-
121222,Cal Ripken Jr.,SS,Baltimore Orioles,110,2007-01-01,MLBHOF,Hall Of Fame,-,537
115270,Tony Gwynn,OF,San Diego Padres,135,2007-01-01,MLBHOF,Hall Of Fame,-,532
506635,Alex Pompez,X,No team,14,2006-02-27,MLBHOF,Hall Of Fame,-,-
506629,Andy Cooper,P,No team,14,2006-02-27,MLBHOF,Hall Of Fame,No cap logo on plaque,-
506639,Ben Taylor,1B,No team,14,2006-02-27,MLBHOF,Hall Of Fame,No cap logo on plaque,-
506640,Cristobal Torriente,OF,No team,14,2006-02-27,MLBHOF,Hall Of Fame,No cap logo on plaque,-
506633,Effa Manley,X,No team,14,2006-02-27,MLBHOF,Hall Of Fame,-,-
506630,Frank Grant,2B,No team,14,2006-02-27,MLBHOF,Hall Of Fame,No cap logo on plaque,-
506634,Jose Mendez,P,No team,14,2006-02-27,MLBHOF,Hall Of Fame,-,-
506638,Mule Suttles,1B,No team,14,2006-02-27,MLBHOF,Hall Of Fame,-,-
506631,Pete Hill,OF,No team,14,2006-02-27,MLBHOF,Hall Of Fame,No cap logo on plaque,-
506641,Sol White,X,No team,14,2006-02-27,MLBHOF,Hall Of Fame,-,-
123004,Bruce Sutter,P,St. Louis Cardinals,138,2006-01-10,MLBHOF,Hall Of Fame,-,400
121665,Ryne Sandberg,2B,Chicago Cubs,112,2005-11-01,MLBHOF,Hall Of Fame,-,393
111153,Wade Boggs,3B,Boston Red Sox,111,2005-11-01,MLBHOF,Hall Of Fame,-,474
